title,price,unit,description
,"
	1.59
	","
200/300-g",Smaakvolle pitten. Een mix van pompoen-zonnebloem of pompoenpitten.
,"
	1.19
	","
300-g",Heerlijke cocktailnootjes met een lekker kruidig laagje.
,"
	1.19
	","
300-g",Keuze uit krokante poesta of oriental noten.
,"
	1.49
	","
250 g",﻿Pinda’s omhuld in een krokant laagje. Keuze uit BBQ-paprika en bacon-kaas.
,"
	1.99
	","
200-g",Honing-zeezout of honing-rode peper.
,"
	1.19
	","
250 g","Pepitamix is een gezouten mix van katjang pedis, amandelen en geroosterde pompoenpitten. Katjang pedis zijn gebrande pinda's met een pittig krokant jasje."
,"
	1.98
	","
200-g",Gezouten.
,"
	0.99
	","
200 g",Melkchocolade.
,"
	2.29
	","
200-g","Gezouten en gekruide noten-pindamix in de varianten pistache, olijf en macadamia. "
,"
	2.27
	","
200-g-Per zak",Ongezouten. 
,"
	2.29
	","
200-g","Frisse melange met cranberries, cashewnoten, amandelen en walnoten."
,"
	1.69
	","
125-g","Mix van pinda's, cashewnoten en amandelen drooggeroosterd en gekruid."
,"
	2.49
	","
200-g","Rijke melange met amandelen, hazelnoten, walnoten en paranoten."
,,"
115 g",Maïszoutje met kaassmaak.
,,"
200 g","Lay's SuperChips is door de geribbelde structuur een combinatie van super smaak, mega kraak en intens genieten. Paprika, vertrouwd lekker!"
,,"
200 g","Lay's SuperChips is door de geribbelde structuur een combinatie van super smaak, mega kraak en intens genieten. Naturel, vertrouwd lekker!"
,,"
100 g",Verdraaid lekker.
,,"
115 g",Bros zoutje met de smaak van ham en kaas. 
,"
	1.29
	","
175-g","Gebakken in 100% zonnebloemolie zonder kunstmatige smaakstoffen. In de smaken original, paprika of sour cream en onion."
,"
	0.99
	","
200-g","Knapperige lichte gezouten nacho chips. Heerlijk bij guacamole, salsa of gesmolten kaas. "
,"
	0.88
	","
150-200-g",Luchtige zoutjes in de smaken ham-kaas en kaas.
,"
	0.61
	","
185-g","Lekkere maïssnack in de smaken nacho cheese, sweet chili en cool cream."
,"
	1.19
	","
150-g",Knapperige handcooked chips. In de varianten zeezout en peper &amp; zeezout.
,"
	0.89
	","
250-g",Knapperige chips in de smaak paprika.
,"
	0.99
	","
250-g",Krokante paprika ribbelchips.
,"
	0.99
	","
250-g","Knapperige chips, in de varianten cheese &amp; onion of bolognese."
,"
	0.59
	","
150-g",Naturel of paprika.
,"
	3.19
	","
Per pak",Solo Super Zacht &amp; Extra Sterk toiletpapier.
,"
	0.89
	","
250-g",Knapperige naturel chips. 
,"
	3.59
	","
Per pak",Solo Zacht &amp; Extra Sterk toiletpapier
,"
	4.89
	","
Per pak",Solo Zacht &amp; Sterk toiletpapier
,,"
390 ml",Verwijdert vetresten volledig en geeft een schitterende glas. 
,"
	0.79
	","
500 ml","Voor een frisse geur en stralende glans. Sterk tegen aangekoekte etensresten. Extra krachtig tegen vet en zetmeel. Extra zuinig in gebruik, tot 250 wasbeurten."
,"
	2.69
	","
40-stuks",Fosfaatvrij. Schoon en stralend resultaat door all-in-1 formule. Toevoegen van zout of glasprotectie niet nodig. In water oplosbare folie verpakt. 40 stuks.
,"
	0.79
	","
2-kg","Voor een extra schoon, droog en glanzend wasresultaat. Voorkomt kalkaanslag. Voor een langere levensduur van uw vaatwasmachine."
,"
	0.89
	","
Per pak",Keuze uit diverse vrolijke kleuren.
,,"
106-184 g","Keuze uit kippensoep, groentesoep en tomatensoep."
,"
	0.48
	","
60/101-g","Groente, kip of tomaat. 2 zakjes voor 3 borden."
,"
	0.40
	","
36-54-g","Keuze uit champignon crème, kerrie, kip of tomaat. "
,"
	1.19
	","
340-ml",Met stukjes vlees. Keuze uit kip en rund. 
,"
	1.03
	","
800-ml",Rijk gevulde erwtensoep naar Hollands recept met rookworst.
,"
	1.11
	","
800-ml","Lekkere, rijk gevulde tomatensoep met soepballen."
,"
	0.25
	","
100-g","Keuze uit gevogelte, kalf &amp; kip, kip en koolvis."
,"
	3.79
	","
12 x 85 g","Zonder kunstmatige kleurstoffen en conserveringsmiddelen. Een multipack karton bevat 12 maaltijdzakjes. In totaal 4 smaken, 3 maaltijdszakjes per smaak voor de nodige variatie. 12 porties à 85 g."
,"
	1.99
	","
",Stevige Aldi jute draagtas om altijd te gebruiken voor de boodschappen.  
,"
	2.29
	","
2-kg",Brokjes met zalm en toegevoegde groente.  
,"
	3.79
	","
12 x 85 g","Zonder kunstmatige kleurstoffen en conserveringsmiddelen. Een multipack karton bevat 12 maaltijdzakjes. In totaal 4 smaken, 3 maaltijdszakjes per smaak voor de nodige variatie. 12 porties à 85 g."
,"
	1.89
	","
750-g","Complete kattenvoeding, rijk aan voedingsstoffen en vitaminen. In hersluitbare vershoudverpakking. Keuze uit 3 hoogwaardige formules: ‘Adult’(+1 jaar)‘Senior’(+8 jaar), of 'Sensitive'."
,"
	0.40
	","
415 g","Keuze uit wild en gevogelte, kip en kalkoen en zalm en forel."
,"
	2.66
	","
1.2-kg",12 maaltijdzakjes met:
,"
	2.66
	","
1.2-kg",12 maaltijdzakjes met:
,,"
340 g",Gepofte rijst in heerlijke melkchocolade met daar omheen een krokant gekleurd suikerlaagje.
,,"
440 g",Heerlijke melkchocolade in een krokant gekleurd suikerlaagje.
,,"
400 g",Pinda's in heerlijke melkchocolade met daar omheen een krokant gekleurd suikerlaagje.
,,"
535g","Een heerlijke mix van kleine Snickers, Mars, Bounty, Twix en Milky Way chocoladerepen. Ideaal om uit te delen."
,,"
150 g",Milka alpenmelkchocolade is gemaakt van de heerlijke combinatie van cacao en Alpenmelk.
,"
	1.23
	","
6 x 50 g","Keuze uit pinda power, caramel power en cookie power."
,"
	1.49
	","
200-g","Keuze uit witte chocolade met hazelnoten pralinévulling, melkchocolade met pralinévulling en pure chocolade met hazelnoten pralinévulling."
,"
	1.25
	","
125 g","Keuze uit puur chili, puur zeezout en puur mint."
,"
	1.49
	","
","Chateau Laviano melk: luchtige wafels met een fijne melk crèmevulling en fijngemalen hazelnoten, omhuld met melkchocolade."
,"
	2.45
	","
500 g",Heerlijke zak gevuld met diverse soorten mini candybars.
,"
	1.99
	","
300-g",Pralines van melkchocolade of pure &amp; witte chocolade met krokante vulling. 
,"
	1.84
	","
250-g",Belgische chocolade met een vulling van geroosterde hazelnoten.
,"
	2.79
	","
175/185 g","Luxe bonbons, melk, wit en puur, gevuld met room en vloeibare karamel."
,"
	1.03
	","
200-g",Onthuld met een dikke laag Belgische melkchocolade.
,"
	1.34
	","
150 g",Luchtige chocoladereep in de varianten melk en wit.
,"
	1.99
	","
300-g",Keuze uit knapperige biscuit en fijne melkcrème in zachte volle melkchocolade of knapperige biscuit met de smaak van black &amp; white. 9 reepjes.
,"
	1.74
	","
200-g","5 reepjes van 40 g. Keuze uit melk hazelnoot, melk praliné, wit, puur en melk room. "
,"
	1.49
	","
200-g",Zachte karamelcrème omhuld door fijne melkchocolade. 200 g.
,"
	1.49
	","
200 g",200 g.
,"
	1.49
	","
200-g",200 g.
,"
	1.49
	","
200 g",200 g.
,"
	0.79
	","
100-g",Melkchocolade met hele hazelnoten.
,"
	1.29
	","
125 g",Keuze uit:
,"
	1.79
	","
150 g","100% Belgische chocolade. Keuze uit de smaken Hazelnut, Salted Caramel en 70% Dark Chocolate."
,"
	1.25
	","
125-g","Keuze uit puur sinaasappel amandel, puur geroosterde hazelnoot en puur karamel zeezout."
,"
	1.29
	","
125-g",Keuze uit puur 85% of 70%.
,"
	1.38
	","
100-g-Per reep","Fairtrade chocolade uit verschillende landen. Peru pure chocolade (64% cacao), Ecuador pure chocolade. (71% cacao) of Ghana pure chocolade (72% cacao)."
,,"
225 g","Keuze uit drop, mint en fruit."
,"
	1.89
	","
100-g","Keuze uit chlorophyl, peppermint, spearmint en strawberry lime."
,"
	1.37
	","
100-g-Per pak","Ca. 70 stuks. Keuze uit classic mint, freshmint, golden power, peppermint of sweet cherry. "
,,"
54-g",3-pack. Keuze uit extra mint en smash mint.
,"
	1.48
	","
70 stuks","Keuze uit sweetmint, original mint en greenmint."
,"
	1.05
	","
2-pack","Keuze uit drop, menthol en honing lemon."
,"
	1.29
	","
88-g",Keuze uit Latte macchiato en IJsthee perzik. 
,"
	1.31
	","
200-300-g",Keuze uit Menthol groentjes of Hoestmelange.
,"
	1.29
	","
50 g","Per 2 stuks verpakt. Keuze uit dropmint, sweetmint, spearmint en peppermint. "
,"
	0.98
	","
190 g","Zachte dragees. Drop, mint of fruit. 5 rollen per pak."
,"
	1.29
	","
360/400-g",Verfrissende pepermuntballen of -kussentjes.
,"
	0.99
	","
205-g",5 rollen hoestpastilles of pepermunt.
,"
	1.84
	","
340-g ","Stevige laurier-, zoete of zoute drop in de vorm van woonbootjes, grachtenpandjes of korenmolens."
,"
	0.99
	","
300/335-g",Keuze uit honing- en muntendrop.
,"
	1.29
	","
600-g",600 g.
,"
	0.89
	","
100-g",Keuze uit zout en zoet.
,"
	1.59
	","
600-g","Heerlijke combinatie van drop, fruitsmaken en kokos."
,"
	0.78
	","
250-g",Keelpastilles. In de smaken classic salmiak of menthol-eucalyptus.
,,"
328-g",Keuze uit wingeum mix en dropfruit duo's.
,"
	1.99
	","
400-600-g",Keuze uit:
,,"
300 g",Keuze uit kersen of perziken.
,"
	1.99
	","
Per stuk","Keuze uit Maxi mix, Pret mix en Zure mix."
,"
	1.29
	","
300-g",10 keer lekker trakeren! 
,"
	2.99
	","
170-g",Rijk aan eiwitten. Bevat nagenoeg geen vetten. Keuze uit:
,"
	1.39
	","
250-g",Zachte toffee met cacaocrèmevulling.
,"
	4.69
	","
4-kg","Uitgebalanceerde hondenvoeding met rundvlees, groenten, granen enrijst. Rijk aan calcium voor sterke botten."
,"
	0.94
	","
1.24-kg",Malse vleesbrokken in saus. Met natuurlijke voedingsvezels. Keuze uit:
,"
	3.99
	","
3-kg",Complete dierenvoeding voor honden. Bevat veel eiwitten voor krachtige spieren en zink voor een mooie vacht. Rijk aan calcium.                                                    
,"
	0.99
	","
400-g ","Mix van hart en lever, kip of rund."
,"
	0.85
	","
55/200-g ",Diverse tussendoortjes voor honden met veel vers vlees en graanproducten. Verkrijgbaar als kauwstrips 20 stuks of kauwstengels 5 stuks. Diverse smaken.
,"
	7.91
	","
10-kg","Evenwichtige voeding voor uw hond met een uitgebalanceerde combinatie van vlees-, granen- en groentebrokken."
,"
	0.99
	","
225-g",Geroosterd zonder olie.
,"
	0.99
	","
250-g",Krokante naturel ribbelchips.
,,"
200-g",Wafel met melk- en hazelnootvulling. 8 stuks.
,"
	1.50
	","
255 g",7 x 2 stuks. Keuze uit aardbei en bosvruchten.
,"
	0.75
	","
225 g",Amerikaanse koekjes met chocolade. 
,"
	1.74
	","
330 g","Met roomboter bereid. Keuze uit naturel of duo, 8 stuks."
,"
	1.25
	","
240-g",Met stukjes chocolade. Per stuk verpakt. 8 stuks.
,"
	0.89
	","
450 g",Ambachtelijke speculaas op traditionele wijze bereid.
,"
	1.66
	","
250-g","Met echte boter. Melk, puur of witte chocolade. Per 2 verpakt in handig pocketverpakking. 10 x 2 stuks."
,"
	0.98
	","
210-g","Knapperige, luchtige koekjes met stukjes pinda. Ca. 26 stuks."
,"
	1.65
	","
380 g",Jode- of koffiekoeken in handige hersluitbare trommel.
,"
	0.99
	","
300 g",Keuze uit puur of melk.
,"
	0.74
	","
200-g",Lekker luchtig en krokant. Ca. 33 stuks.
,"
	1.59
	","
350 g",Zachte cake met een chocolade-creme vulling. 10 stuks.
,"
	1.99
	","
300-g","Mini wafels met zachte stroopvulling, bereid met roomboter."
,"
	1.19
	","
200 g",Heerlijk bros en knapperig. Met pindaschaafsel.
,"
	1.19
	","
200-g",Ca. 20 stuks.
,"
	1.22
	","
300-360-g",Glutenvrij. 
,"
	1.99
	","
500 g",Bereid met roomboter.
,"
	1.99
	","
270 g",Disco biscuit. 10 stuks.
,"
	1.69
	","
250-300 g",Keuze uit pindakoeken of amandelharten. 10-12 stuks.
,"
	1.25
	","
175-g",12 stuks.
,"
	1.37
	","
400-415 g","Aarbei pencees 8 stuks, roomboter gevulde koeken 6 stuks."
,"
	1.59
	","
400 g",Cakejes met glazuurlaag en frambozenvulling. 8 stuks. 
,"
	1.35
	","
420 g",6 stuks.
,"
	0.88
	","
300-g",Wafels in handige portieverpakking. 6 porties. 
,"
	0.89
	","
330 g","Met banketspijsvulling, 6 stuks."
,"
	1.15
	","
270-g",Roomboter. 6 stuks. 
,"
	0.92
	","
280/305 g",6 grote of 8 mini roze koeken. 
,"
	0.99
	","
150-ml","Best Getest door Algemeen Dagblad, februari 2021."
,"
	0.71
	","
500-ml",Heerlijke slasaus in de varianten halfvol en vol.
,"
	0.89
	","
75-129-g",Voor 250 ml saus per portie. Keuze uit:
,"
	1.09
	","
200 ml","Keuze uit sweet chili, teriyaki en zoetzuur."
,"
	1.53
	","
490-g","Keuze uit tradizionale, piccante en basilicum."
,"
	1.75
	","
450 ml",Sweet honey BBQ of smokey American BBQ.
,"
	1.50
	","
0,265-l-Per fles",Amerikaanse of Turkse knoflooksaus.
,"
	1.45
	","
265-ml",Keuze uit:
,"
	0.71
	","
250-ml","Keuze uit barbecue, knoflook en whisky cocktailsaus. "
,"
	0.69
	","
200-ml",Keuze uit citroen- en limoensap. 
,"
	1.79
	","
450-g",450 g.
,"
	0.50
	","
120-g","Kippen, rundvlees of groente. 12 blokjes."
,"
	1.12
	","
188-g",Oosterse mix voor nasi en bami goreng. 4 zakjes.
,,"
275 g",Unox rookworst mager varken.
,"
	0.69
	","
50-g",2 x 25 g.
,"
	2.09
	","
100-g","Keuze uit Mediterraan, classic en licht pikant."
,"
	1.29
	","
400 g","Keuze uit kalf, kip en champignon. "
,"
	1.55
	","
400 g","Keuze uit pittig, naturel en kip. 250 g."
,"
	1.35
	","
420-g",Appelrondo's met roomboter en appel. Per stuk verpakt. 6 stuks.
,"
	1.10
	","
200-g",200 g.
,"
	1.59
	","
104-g",Malse skipjack tonijn in olijfolie in easy open blikje.
,"
	0.86
	","
240-265-g","Keuze uit linzen, kikkererwten of zwarte bonen. "
,"
	0.59
	","
320-g",320 g.
,"
	0.92
	","
350-g",Keuze uit kruiden en honing.
,"
	0.85
	","
360-g",Zoetzuur.  
,"
	0.59
	","
190-g",Zoetzuur.
,"
	0.79
	","
220-g",Extra fijn.
,"
	0.84
	","
95-g",Keuze uit:
,"
	1.09
	","
220-g",4 zakjes.
,"
	0.69
	","
2-10-g","Keuze uit laurierblad, kruidnagel en kaneelstokjes."
,"
	0.99
	","
12-35 g","Keuze uit peterselie, uien en bieslook."
,"
	0.99
	","
160 g","Keuze uit gehakt, aardappel, aroma, vlees, vis en kip."
,"
	0.89
	","
15-30-g","Keuze uit basilicum, oregano, rozemarijn, tijm en Italiaanse kruiden."
,"
	0.99
	","
50-g","Keuze uit gemalen komijnzaad, kurkuma, koriander en gember."
,"
	0.79
	","
50-g","Chilipoeder, zwarte peper, witte peper of paprikapoeder."
,"
	1.49
	","
360 g","Keuze uit appel, appel-aardbei, appel-banaan en appel-peer."
,"
	0.85
	","
50-60-g","Keuze uit knoflook, kerrie, nootmuskaat en kaneel."
,"
	0.99
	","
35-90-g","Keuze uit 4-seizoenen, zeezout en zwarte peper."
,"
	1.29
	","
400 g","Keuze uit kalf, kip en champignon. "
,"
	0.81
	","
500-g","Keuze uit spaghetti, penne en fusilli."
,"
	2.59
	","
500 g",Twee lagen taartbodem gevuld met een mokka bavaroise en rondom bedekt met krokante rice crispies.
,"
	3.29
	","
1080-g","Goed Getest volgens het Algemeen Dagblad, september 2019. "
,"
	3.69
	","
1 kg",Heerlijk romig. 12 porties.
,,"
250 ml","Unieke, populaire mix van Bacardi Carta Blanca gemixt met cola. Gekoeld serveren. Alcohol: 5% vol."
,"
	0.99
	","
250 ml","Keuze uit gin tonic, rum cola en vodka orange. 5-6% vol."
,"
	3.39
	","
0.5 l",Nederland
,"
	4.99
	","
0.70-l-Per fles",Spanje
,"
	1.69
	","
1-l ",Met natuurlijke bourbon-vanille-aroma.
,"
	0.49
	","
0.5-l",Alcoholpercentage: 5%
,,"
4 stuks ","Magnum ijs is onweerstaanbaar lekker. Het romigste roomijs, omhuld met een dikke laag echte chocolade. Niet voor niets is dit ijsje al tientallen jaren onverminderd populair. Natuurlijk kan deze klassieker niet ontbreken in het ijs-assortiment van ALDI. Kies uit de smaken Magnum Almond, omhuld met melkchocolade met crunchy stukjes amandel, de Classic met alleen chocolade, of Magnum White, met witte chocolade. Of ga voor de Magnum Mini’s, met verschillende smaken. En de prijs van Magnum ijs bij ALDI? Die is laag, zoals altijd.                                                                    "
,"
	1.89
	","
270-ml","Keuze uit creme brûlée-caramel, espresso-coffee, pistache-chocolate en salted caramel."
,,"
6x 250-ml",Met draaidop.
,"
	0.49
	","
250-ml","Keuze uit mild, medium roast, minder zoet en strong roast. "
,"
	3.49
	","
500-g",Milde en aromatische koffie van 100% Arabicabonen.
,"
	3.89
	","
500-g",Milde en aromatische koffie van 100% Arabicabonen.
,"
	3.69
	","
500-g","Geurige, aromatische, iets pittige koffiemelange van90% Arabica- en 10% Robustabonen."
,,"
16 stuks",16 stuks.
,"
	2.15
	","
100 g",Extra dark roast van extra donker gebrande 100% Arabica bonen.
,"
	1.58
	","
250-g",Voor ca. 25 kopjes.
,"
	6.49
	","
1-kg",Romig &amp; aromatisch.
,"
	0.89
	","
0.5-l",0.5 l.
,"
	3.89
	","
6 x 0.33 l","Een zeer verfrissend bier, wordt ijskoud en rechtstreeks uit de fles gedronken met een partje limoen in de hals. 6 stuks. Alcohol: 4.6% Vol. "
,"
	3.20
	","
4 x 33 cl","Een blond abdijbier van hoge gisting, met een warme, volle smaak en toetsen van kruidnagel en kaneel. Fruitig, licht kruidig gistaroma. Alcohol 0.0% Vol."
,"
	3.99
	","
4 x 33 cl",Goed Getest door World Beer Awards 2021 Belgium Gold. 
,"
	3.99
	","
4 x 33 cl","Een blond abdijbier van hoge gisting, met een warme, volle smaak en toetsen van koriander, curaçao (sinaasappelschil) en kaneel. Fruitig, licht gerookt gistaroma. Alcohol 8.7% Vol."
,"
	3.99
	","
4 x 33 cl",Goed Getest door World Beer Awards 2021 Belgium Silver. 
,"
	0.69
	","
0.5-l",Alcoholpercentage: 5.2%
,"
	1.99
	","
6 x 330 ml",Alcoholvrij bier.
,"
	0.99
	","
500-ml",Alcohol: 12% vol.
,"
	0.85
	","
0.5-l",Alcoholpercentage: 8%.
,"
	1.99
	","
6 x 33 cl",6 x 33cl.
,"
	0.65
	","
0,5-l",Bier en limonade met citroensmaak. Alcohol: 2% vol.
,"
	1.08
	","
40 g","Thee assortiment om voor jezelf te zorgen in drie verschillende smaken. Keuze uit Goedenacht, Soultime en Buikfijn."
,"
	1.13
	","
25 zakjes",Darjeeling of Earl grey. 25 zakjes.
,"
	0.99
	","
20 x 1.75 g",4 varianten winters thee met een rijke smaak.
,"
	0.56
	","
25 stuks","Engelse Melange, Earl Grey of Ceylon. 25 éénkopszakjes."
,"
	0.56
	","
20 x 4 g","Hoogland theemelange met een vleugje bergamot-olie, dat de thee zijn unieke fruitachtige karakter geeft. 20 zakjes."
,"
	0.50
	","
20 x 4 g",20 zakjes.
,"
	0.63
	","
25-zakjes","Keuze uit citroen, cranberry of naturel."
,"
	2.69
	","
36-stuks",Goed Getest volgens het Algemeen Dagblad mei 2020. 
,"
	0.67
	","
464-ml",Gepasteuriseerd.
,"
	0.77
	","
472-ml",Gepasteuriseerd.
,"
	1.99
	","
660 ml",Vanilleijs met melkchocolade.
,"
	2.09
	","
12 x 50 ml","Mix van classic, white, almond en dark."
,"
	1.99
	","
660 ml",Vanilleijs met witte chocolade.
,"
	1.58
	","
960-ml",<b>Cornetto</b>
,"
	1.09
	","
","Keuze uit choco, aardbei, choco candy en karamel."
,"
	1.99
	","
660 ml",Vanilleijs met melkchocolade en amandel.
,"
	1.99
	","
560-ml","Keuze uit vanille-aardbei, triple choc, karamel en dame blanche."
,"
	0.99
	","
10x60-ml",<b>Raketijsje</b>
,"
	2.39
	","
500-ml",Lekker romig cookie dough roomijs met stukjes koek en chocolade.
,"
	2.09
	","
500-ml",Lekker romig triple chocolate roomijs met chocoladesaus.
,"
	2.09
	","
500-ml",Lekker romig strawberry cheesecake roomijs met stukjes aardbei.
,"
	2.19
	","
900-ml",Met chocoladesaus en chocoladekrullen.
,"
	1.79
	","
1-l ",Met stukjes Belgische chocolade.
,"
	2.19
	","
900-ml",Met stukjes chocolade.
,"
	2.09
	","
900-ml",Lekker romig met gekarameliseerde pecannoten.
,"
	2.19
	","
900-ml",Met gezouten boter roomijs. 
,"
	1.79
	","
1 l", Met krokante stukjes pure chocolade.
,"
	1.79
	","
1 l ",Met echte stukjes aardbei.
,"
	1.99
	","
900 ml",Met stukjes pistache. 
